t,x,u
0.0,-8.0,2.220446049250313e-16
0.0,-7.9375,-4.310080244096515e-11
0.0,-7.875,4.773407780156447e-10
0.0,-7.8125,8.872462625708621e-10
0.0,-7.75,2.3008818808567533e-09
0.0,-7.6875,2.0559032948286315e-10
0.0,-7.625,-8.570716358846653e-10
0.0,-7.5625,-1.728005238899044e-11
0.0,-7.5,1.5552480137071e-10
0.0,-7.4375,1.6154427448511477e-10
0.0,-7.375,-1.1587636059018358e-09
0.0,-7.3125,1.7610212107999068e-09
0.0,-7.25,2.1970994468212268e-11
0.0,-7.1875,6.039677091784768e-10
0.0,-7.125,2.3441369678689483e-10
0.0,-7.0625,-1.248912806506297e-09
0.0,-7.0,9.171912396244153e-10
0.0,-6.9375,-9.21167309098081e-12
0.0,-6.875,9.939119804958096e-10
0.0,-6.8125,8.726125932945195e-10
0.0,-6.75,3.2639566049930124e-09
0.0,-6.6875,1.1270985256217614e-09
0.0,-6.625,6.299610777471543e-09
0.0,-6.5625,5.086422616429331e-09
0.0,-6.5,6.849344119652656e-09
0.0,-6.4375,9.999119782166943e-09
0.0,-6.375,1.5057914970473263e-08
0.0,-6.3125,2.322689518496901e-08
0.0,-6.25,2.8651504502263947e-08
0.0,-6.1875,3.887363875243466e-08
0.0,-6.125,5.2116022386528016e-08
0.0,-6.0625,7.063237755788876e-08
0.0,-6.0,9.020855079588941e-08
0.0,-5.9375,1.1732618276916185e-07
0.0,-5.875,1.490585156416202e-07
0.0,-5.8125,1.9370180048827734e-07
0.0,-5.75,2.462208539832922e-07
0.0,-5.6875,3.0699220532337534e-07
0.0,-5.625,3.8228622917246824e-07
0.0,-5.5625,4.7215405074574335e-07
0.0,-5.5,5.796621328491014e-07
0.0,-5.4375,7.046718379366546e-07
0.0,-5.375,8.543757814005737e-07
0.0,-5.3125,1.0244009861493097e-06
0.0,-5.25,1.229163365479291e-06
0.0,-5.1875,1.4642850729162937e-06
0.0,-5.125,1.7294816492818832e-06
0.0,-5.0625,2.036784608194786e-06
0.0,-5.0,2.385192225951016e-06
0.0,-4.9375,2.7803020483663232e-06
0.0,-4.875,3.226868078631817e-06
0.0,-4.8125,3.7274022728905898e-06
0.0,-4.75,4.283568738328025e-06
0.0,-4.6875,4.9140801156033476e-06
0.0,-4.625,5.606933138058157e-06
0.0,-4.5625,6.378712049087687e-06
0.0,-4.5,7.224268942979117e-06
0.0,-4.4375,8.157141132142387e-06
0.0,-4.375,9.180173883294174e-06
0.0,-4.3125,1.0301140526219887e-05
0.0,-4.25,1.1517579829589675e-05
0.0,-4.1875,1.2843120145156206e-05
0.0,-4.125,1.428023021821101e-05
0.0,-4.0625,1.583632150284342e-05
0.0,-4.0,1.751528716173456e-05
0.0,-3.9375,1.9320953730472823e-05
0.0,-3.875,2.1260917902443666e-05
0.0,-3.8125,2.3340235813629207e-05
0.0,-3.75,2.5565049398268425e-05
0.0,-3.6875,2.7937112748899207e-05
0.0,-3.625,3.0467157301622416e-05
0.0,-3.5625,3.3155858952693684e-05
0.0,-3.5,3.6010571365818755e-05
0.0,-3.4375,3.903651602427116e-05
0.0,-3.375,4.22362327136272e-05
0.0,-3.3125,4.5615892909606215e-05
0.0,-3.25,4.918100868037123e-05
0.0,-3.1875,5.29327764663412e-05
0.0,-3.125,5.687762739042812e-05
0.0,-3.0625,6.102144332184589e-05
0.0,-3.0,6.5361189843266e-05
0.0,-2.9375,6.991202974077071e-05
0.0,-2.875,7.466882690851384e-05
0.0,-2.8125,7.963685510647966e-05
0.0,-2.75,8.482011549373891e-05
0.0,-2.6875,9.022298782296323e-05
0.0,-2.625,9.584410979979197e-05
0.0,-2.5625,0.00010169586459199409
0.0,-2.5,0.00010776501081349865
0.0,-2.4375,0.00011406512431080817
0.0,-2.375,0.00012059992729090974
0.0,-2.3125,0.00012736650138653327
0.0,-2.25,0.0001343674456241173
0.0,-2.1875,0.00014160658019243821
0.0,-2.125,0.0001490795288114355
0.0,-2.0625,0.00015679876011953642
0.0,-2.0,0.0001647598157736574
0.0,-1.9375,0.00017295487076918192
0.0,-1.875,0.00018139820703605425
0.0,-1.8125,0.00019008373604054163
0.0,-1.75,0.00019901381958956077
0.0,-1.6875,4.85722573273506e-16
0.0,-1.625,4.288486579739903e-11
0.0,-1.5625,-4.785087361069973e-10
0.0,-1.5,-8.891755387541167e-10
0.0,-1.4375,-2.3034654149378664e-09
0.0,-1.375,-2.051707484462817e-10
0.0,-1.3125,8.551492985953146e-10
0.0,-1.25,1.9405005380335183e-11
0.0,-1.1875,-1.5543922052274617e-10
0.0,-1.125,-1.5486195659164537e-10
0.0,-1.0625,1.1767259076866932e-09
0.0,-1.0,-1.7317898989843705e-09
0.0,-0.9375,3.759721700635765e-11
0.0,-0.875,-4.932440428317975e-10
0.0,-0.8125,-3.5510205886879476e-11
0.0,-0.75,1.59342867372958e-09
0.0,-0.6875,-3.2627736623602743e-10
0.0,-0.625,9.825106700445119e-10
0.0,-0.5625,5.888486781513436e-10
0.0,-0.5,1.6204437097711022e-09
0.0,-0.4375,5.925829271724581e-10
0.0,-0.375,4.7379596634922194e-09
0.0,-0.3125,2.4487259442373954e-09
0.0,-0.25,7.746116276186044e-09
0.0,-0.1875,1.167486068931467e-08
0.0,-0.125,1.6342973724325915e-08
0.0,-0.0625,2.1875433936502375e-08
0.0,0.0,2.7872354951830047e-08
0.0,0.0625,4.11416888890237e-08
0.0,0.125,5.5331928705548705e-08
0.0,0.1875,7.360209480777868e-08
0.0,0.25,9.5344693806787e-08
0.0,0.3125,1.2669212340332692e-07
0.0,0.375,1.6338196900944624e-07
0.0,0.4375,2.108851014925861e-07
0.0,0.5,2.638055493497937e-07
0.0,0.5625,3.3044024899675506e-07
0.0,0.625,4.140674935704247e-07
0.0,0.6875,5.124875621653757e-07
0.0,0.75,6.301352609705546e-07
0.0,0.8125,7.688685803586282e-07
0.0,0.875,9.34190960755199e-07
0.0,0.9375,1.124727382173507e-06
0.0,1.0,1.3511109240860186e-06
0.0,1.0625,1.605647707791924e-06
0.0,1.125,1.8998670155423447e-06
0.0,1.1875,2.2416443613004766e-06
0.0,1.25,2.6269694025637946e-06
0.0,1.3125,3.065270195667935e-06
0.0,1.375,3.5597624779004633e-06
0.0,1.4375,4.1148897653719985e-06
0.0,1.5,4.737676595867324e-06
0.0,1.5625,5.436324265029047e-06
0.0,1.625,6.202299252411336e-06
0.0,1.6875,7.0580289618371594e-06
0.0,1.75,7.997617513133548e-06
0.0,1.8125,9.037106909082215e-06
0.0,1.875,1.017403734526745e-05
0.0,1.9375,1.1416789206825095e-05
0.0,2.0,1.2768944088581424e-05
0.0,2.0625,1.4244379876016122e-05
0.0,2.125,1.584097867873835e-05
0.0,2.1875,1.756778216221999e-05
0.0,2.25,1.9428892592293634e-05
0.0,2.3125,2.1431891677331505e-05
0.0,2.375,2.358436974062017e-05
0.0,2.4375,2.5890049684923477e-05
0.0,2.5,2.8355089582710047e-05
0.0,2.5625,3.098440202486952e-05
0.0,2.625,3.3787121531597686e-05
0.0,2.6875,3.676323233026135e-05
0.0,2.75,3.992254182627608e-05
0.0,2.8125,4.326795783365922e-05
0.0,2.875,4.680426390218928e-05
0.0,2.9375,5.053866285270603e-05
0.0,3.0,5.447443393660767e-05
0.0,3.0625,5.8615232181813415e-05
0.0,3.125,6.29686863751755e-05
0.0,3.1875,6.753690144287172e-05
0.0,3.25,7.232218372749122e-05
0.0,3.3125,7.733540887430723e-05
0.0,3.375,8.256891212501949e-05
0.0,3.4375,8.803496824622004e-05
0.0,3.5,9.373508265511643e-05
0.0,3.5625,9.967167410368516e-05
0.0,3.625,0.00010584640489810782
0.0,3.6875,0.00011226629724062076
0.0,3.75,0.00011892429635332324
0.0,3.8125,0.0001258385510631288
0.0,3.875,0.0001330000689440114
0.0,3.9375,0.00014040930760103598
0.0,4.0,0.0001480730218325066
0.0,4.0625,0.0001559920662309311
0.0,4.125,0.00016416575378044862
0.0,4.1875,0.0001726011764464075
0.0,4.25,0.0001812883092089379
0.0,4.3125,0.00019023364012110688
0.0,4.375,0.00019944672907809546
0.0,4.4375,0.000208914675904448
0.0,4.5,0.00021864465278384482
0.0,4.5625,0.0002286350258474401
0.0,4.625,1.0408340855860843e-15
0.0,4.6875,-4.2622507086254036e-11
0.0,4.75,4.79589604140962e-10
0.0,4.8125,8.910331188161091e-10
0.0,4.875,2.3059547847592565e-09
0.0,4.9375,2.0540547387981611e-10
0.0,5.0,-8.512047212916318e-10
0.0,5.0625,-1.7383646605528824e-11
0.0,5.125,1.6505429314972453e-10
0.0,5.1875,1.685944509000059e-10
0.0,5.25,-1.1529576182667256e-09
0.0,5.3125,1.785585859725991e-09
0.0,5.375,6.072521652189522e-11
0.0,5.4375,6.732087318161994e-10
0.0,5.5,3.551517135935711e-10
0.0,5.5625,-1.039372497790847e-09
0.0,5.625,1.2501781485041441e-09
0.0,5.6875,5.355416110575106e-10
0.0,5.75,1.8296423265340422e-09
0.0,5.8125,2.176301611145348e-09
0.0,5.875,5.23812357378084e-09
0.0,5.9375,4.033628764332775e-09
0.0,6.0,1.0528006744170426e-08
0.0,6.0625,1.1130966232064665e-08
0.0,6.125,1.53607226938135e-08
0.0,6.1875,2.1810343836525803e-08
0.0,6.25,3.1223775592836844e-08
0.0,6.3125,4.505956055500526e-08
0.0,6.375,5.7814862619576246e-08
0.0,6.4375,7.735316970292061e-08
0.0,6.5,1.0234460995350858e-07
0.0,6.5625,1.355184978679702e-07
0.0,6.625,1.732063704129594e-07
0.0,6.6875,2.2250295383940966e-07
0.0,6.75,2.811631718002694e-07
0.0,6.8125,3.5821983879191777e-07
0.0,6.875,4.4946321497985053e-07
0.0,6.9375,5.561600614489848e-07
0.0,7.0,6.8552132925781e-07
0.0,7.0625,8.386207830390902e-07
0.0,7.125,1.0196006916540767e-06
0.0,7.1875,1.2294620956865288e-06
0.0,7.25,1.4765836976460278e-06
0.0,7.3125,1.7578417442765115e-06
0.0,7.375,2.0889190528450285e-06
0.0,7.4375,2.466770663289708e-06
0.0,7.5,2.8924696116039428e-06
0.0,7.5625,3.3794149906785087e-06
0.0,7.625,3.92800380172309e-06
0.0,7.6875,4.545249162102305e-06
0.0,7.75,5.2373080536849415e-06
0.0,7.8125,6.0081118325450156e-06
0.0,7.875,6.8607312103674545e-06
0.0,7.9375,7.815242084374674e-06
0.1,-8.0,8.86103753494627e-06
0.1,-7.9375,1.001602761402376e-05
0.1,-7.875,1.1276375171676012e-05
0.1,-7.8125,1.2656884201822649e-05
0.1,-7.75,1.416163135134485e-05
0.1,-7.6875,1.5799555334899962e-05
0.1,-7.625,1.7569358453844997e-05
0.1,-7.5625,1.9485706940686187e-05
0.1,-7.5,2.155209791510071e-05
0.1,-7.4375,2.377689451038556e-05
0.1,-7.375,2.6164886781504526e-05
0.1,-7.3125,2.8720722938274656e-05
0.1,-7.25,3.1452765094835966e-05
0.1,-7.1875,3.436674375031923e-05
0.1,-7.125,3.7469436290488156e-05
0.1,-7.0625,4.0763160174539514e-05
0.1,-7.0,4.4259105992427994e-05
0.1,-6.9375,4.795837854049134e-05
0.1,-6.875,5.186867050754884e-05
0.1,-6.8125,5.599548439164104e-05
0.1,-6.75,6.034156268230895e-05
0.1,-6.6875,6.491322721802195e-05
0.1,-6.625,6.971604720157343e-05
0.1,-6.5625,7.475127075273758e-05
0.1,-6.5,8.002525374270486e-05
0.1,-6.4375,8.55437702845796e-05
0.1,-6.375,9.130363035897426e-05
0.1,-6.3125,9.731976997745528e-05
0.1,-6.25,0.0001035867811019775
0.1,-6.1875,0.00011010960879231924
0.1,-6.125,0.00011689186446695032
0.1,-6.0625,0.00012393750905734247
0.1,-6.0,0.0001312447401837502
0.1,-5.9375,0.00013882538078388573
0.1,-5.875,0.00014666568786306233
0.1,-5.8125,0.00015477860580420666
0.1,-5.75,0.00016316725844964242
0.1,-5.6875,0.0001718280534276917
0.1,-5.625,0.0001807629225423768
0.1,-5.5625,0.0001899749160822195
0.1,-5.5,0.00019945898365855697
