t,x,u,u_t,u_x,u_xx
0.0,-8.0,2.220446049250313e-16,1.1796119636642288e-15,-5.19795723130656e-09,1.8740794371918668e-07
0.0,-7.9375,-4.310080244096515e-11,1.717321887993728e-09,3.818724447768318e-09,1.0112587001120943e-07
0.0,-7.875,4.773407780156447e-10,-1.9128234413079426e-08,7.442776520094618e-09,8.61568349996844e-08
0.0,-7.8125,8.872462625708621e-10,-3.554737030772581e-08,1.4588328822728869e-08,-1.0316819187838888e-07
0.0,-7.75,2.3008818808567533e-09,-9.211231043540491e-08,-5.453247464703992e-09,-3.1881565565328174e-07
0.0,-7.6875,2.0559032948286315e-10,-8.214297280567662e-09,-2.526362813393135e-08,2.9362275277833305e-08
0.0,-7.625,-8.570716358846653e-10,3.421508411663443e-08,-1.7829630549748288e-09,2.669151970557948e-07
0.0,-7.5625,-1.728005238899044e-11,7.342191264692044e-10,8.100771498043002e-09,2.5708461359741364e-08
0.0,-7.5,1.5552480137071e-10,-6.266927896764196e-09,1.4305946149928417e-09,-1.4892063004978695e-07
0.0,-7.4375,1.6154427448511477e-10,-6.3633755036096584e-09,-1.0514307258180366e-08,9.092176700420396e-08
0.0,-7.375,-1.1587636059018358e-09,4.668076033359503e-08,1.2795815490518336e-08,1.59681472489126e-07
0.0,-7.3125,1.7610212107999068e-09,-6.997904544031597e-08,9.445876802960385e-09,-1.7641794802791821e-07
0.0,-7.25,2.1970994468212268e-11,1.1875334049449293e-10,-9.25642801297144e-09,-6.197068147528739e-08
0.0,-7.1875,6.039677091784768e-10,-2.2290440153394098e-08,1.6995416185494605e-09,-4.4532928900054e-08
0.0,-7.125,2.3441369678689483e-10,-6.0021681375088676e-09,-1.4823044125478191e-08,3.0101429793205625e-08
0.0,-7.0625,-1.248912806506297e-09,5.579912806114029e-08,5.462220342700164e-09,1.9792522554240577e-07
0.0,-7.0,9.171912396244153e-10,-2.65343066616075e-08,9.91760906732253e-09,-3.878763532583207e-08
0.0,-6.9375,-9.21167309098081e-12,1.7110680441967396e-08,6.137659269711548e-10,-2.2904119489908226e-08
0.0,-6.875,9.939119804958096e-10,-1.2279917777080485e-08,7.054594131084002e-09,1.4037272855205174e-07
0.0,-6.8125,8.726125932945195e-10,8.438177240277511e-09,1.8160356995977622e-08,-4.0149653379728534e-08
0.0,-6.75,3.2639566049930124e-09,-6.329830840035022e-08,2.0358874586179354e-09,4.8999011070804954e-08
0.0,-6.6875,1.1270985256217614e-09,5.768457156385409e-08,2.428523337982824e-08,2.37109642142741e-07
0.0,-6.625,6.299610777471543e-09,-9.815967649817736e-08,3.167459272646056e-08,-1.5909893313903467e-07
0.0,-6.5625,5.086422616429331e-09,2.2971155116957576e-08,4.397866737448908e-09,6.101587679552267e-08
0.0,-6.5,6.849344119652656e-09,5.395343852243606e-08,3.9301577325900894e-08,4.901656005529276e-07
0.0,-6.4375,9.999119782166943e-09,6.782095857138515e-08,6.566856680656485e-08,5.321650071721251e-07
0.0,-6.375,1.5057914970473263e-08,5.552107620876434e-08,1.0582220322241653e-07,3.4464119558208495e-07
0.0,-6.3125,2.322689518496901e-08,-1.6254131512960512e-08,1.0874871625432547e-07,1.5481396253846924e-07
0.0,-6.25,2.8651504502263947e-08,1.0398689714863352e-07,1.251739485397252e-07,6.317394145582966e-07
0.0,-6.1875,3.887363875243466e-08,1.3676814430985118e-07,1.8771614307411255e-07,1.031167695231261e-06
0.0,-6.125,5.2116022386528016e-08,1.7857851059011054e-07,2.540699104436328e-07,9.361926736062287e-07
0.0,-6.0625,7.063237755788876e-08,1.6981572342755769e-07,3.0474022727489114e-07,9.558442499724151e-07
0.0,-6.0,9.020855079588941e-08,3.146823540634003e-07,3.735504416901847e-07,1.3284759319276418e-06
0.0,-5.9375,1.1732618276916185e-07,3.9523186945444877e-07,4.7079971876584636e-07,1.8996360005019142e-06
0.0,-5.875,1.490585156416202e-07,5.76008436226072e-07,6.11004941752924e-07,2.451991903740236e-06
0.0,-5.8125,1.9370180048827734e-07,5.794847857121255e-07,7.772987067333759e-07,2.3625463754228804e-06
0.0,-5.75,2.462208539832922e-07,6.681760952864657e-07,9.06323238680784e-07,2.4897943582402604e-06
0.0,-5.6875,3.0699220532337534e-07,8.956664843129403e-07,1.0885230015134084e-06,3.31977219758528e-06
0.0,-5.625,3.8228622917246824e-07,1.087851159431441e-06,1.321294763378944e-06,3.923873823197255e-06
