Complexity,Loss,Equation
1,0.02163064,"0.04810745"
3,0.004735818,"x1 ^ -1.7130692"
4,0.0047358125,"sqrt(x1 ^ -3.4312367)"
5,0.0008686653,"2.8746812 / (x1 + x3)"
7,0.00055492105,"(x5 / x4) / (x3 + x1)"
8,0.00034210994,"sqrt(279.6211 / x4) / (x1 + x3)"
9,0.0003320962,"((227.26848 / x4) ^ 0.5526259) / (x3 + x1)"
10,0.0002791775,"sqrt((x0 + 262.56992) / x4) / (x1 + x3)"
11,0.00021775825,"sqrt((107.833 * log(x0)) / x4) / (x1 + x3)"
12,0.00012369215,"sqrt(((x5 + x0) ^ 1.2058662) / x4) / (x1 + x3)"
13,3.6927893e-5,"sqrt(sqrt(x2 * (x0 * x5)) / x4) / (x1 + x3)"
14,2.7645307e-5,"((sqrt(x2 * (x0 * x5)) / x4) ^ 0.5087735) / (x3 + x1)"
15,1.2533086e-5,"sqrt(sqrt((x0 + 1.684436) * (x5 * x2)) / x4) / (x3 + x1)"
17,6.357784e-6,"sqrt(sqrt(x5 * ((x2 + -0.99988294) * (x0 + 1.9263668))) / x4) / (x3 + x1)"
19,4.2681636e-6,"sqrt(sqrt(((x2 + -0.99988294) * (x0 + 2.0033991)) * x5) / x4) / ((x3 ^ 1.0143836) + x1)"
20,3.469297e-6,"sqrt(sqrt(((x2 + -0.99988294) * ((x0 + log(x2)) / 1.1536975)) * x5) / x4) / (x3 + x1)"
