Complexity,Loss,Equation
1,210.32835,"-2.7924645"
2,208.98157,"square(x0)"
4,157.7246,"cos(x0) * -11.523803"
6,64.09915,"cos(x2 + x2) * 18.218643"
7,61.104595,"(square(cos(x2)) * 35.99776) + -19.735798"
9,60.43081,"(square(cos(x2)) + -0.5489429) * (36.020664 - x0)"
10,27.1205,"((square(cos(x2)) * 35.989044) + square(x0)) + -22.658457"
12,0.008640069,"((square(x0) + (square(cos(x2)) * 12.008686)) * 2.9953768) + -28.489475"
14,0.008629082,"(square(cos(x2)) * 35.97088) + (-28.489397 + square(-0.0005643425 - (x0 * 1.7307051)))"
16,0.008439596,"((square(cos(x2)) * 35.97295) + (square(x0) * 2.9954438)) + (-28.49099 - (x1 * 0.008027548))"
18,0.008438928,"((square(x0) * 2.995441) + (((x3 + x1) * -0.0057022055) + (square(cos(x2)) * 35.97043))) + -28.489473"
19,0.00843282,"((square(x0) * 2.9954438) + (square(cos(x2)) * 35.97295)) + (-28.49099 - ((x1 - cos(x4)) * 0.008027548))"
20,0.008401794,"((x1 + cos(square(x2))) * -0.008211762) + ((-28.49054 + (square(x0) * 2.9954484)) + (square(cos(x2)) * 35.97217))"
21,0.0083278995,"(((square(cos(x2)) * 35.973145) + (square(x0) * 2.9953065)) + -28.490509) - ((cos(x2 * 26.384089) + x1) * 0.009003425)"
23,0.008320261,"(((square(cos(x2)) * 35.973145) + (square(x0) * 2.9953065)) + -28.490509) - ((cos((x2 + 0.25153908) * 26.384089) + x1) * 0.009003425)"
26,0.008307464,"((square(cos(x2) * -5.9985285) + -28.49299) - (((cos(x2 * -26.853722) + cos(x2 * x2)) + x1) * 0.009387641)) + (square(x0) * 2.9956033)"
27,0.008295456,"((-28.490963 - ((cos((x2 * 26.244743) + square(cos(x0 * -1.0558765))) + x1) * 0.009585285)) + (square(x0) * 2.9952934)) + (square(cos(x2)) * 35.97422)"
30,0.008292147,"(square(x0) * 2.9954224) + (square(cos(x2) * -5.9976172) + (-28.490635 - (((cos(x4 + ((x3 + 0.11328752) * x2)) + x1) + cos(-26.853588 * x2)) * 0.008323189)))"
