Complexity,Loss,Equation
1,5.4317664e7,"4307.683"
3,1.6401864e7,"x3 * 7276.116"
4,4.1996365e6,"square(x2 * -67.37299)"
5,19264.533,"(x3 + 0.56730545) * 7139.156"
7,19118.273,"(x3 + 0.56730115) * (x1 + 7137.6387)"
8,18882.158,"(x3 + 0.5673121) * (square(x1) + 7135.131)"
9,16990.312,"(7093.8486 - (x1 * -30.373877)) * (x3 + 0.5673984)"
10,16122.141,"((x3 + 0.57020605) + (square(x0) * -0.0036578001)) * 7152.7583"
12,10155.497,"(x3 + 0.5708087) * square(-84.33666 - (x0 * (x3 + -1.7057703)))"
14,4742.0815,"(x3 + 0.567771) * square((x3 + -86.5551) - (x0 * (x3 + -1.8901384)))"
16,4723.6494,"square((-86.53357 - ((x3 + -1.878322) * (x0 + 0.054585475))) + x3) * (0.5679414 + x3)"
17,4417.522,"(((5734.76 - (x1 * -254.68448)) + (x0 * -332.59006)) * (x3 + 0.70380753)) - (x2 * -1322.8707)"
19,4408.278,"((x3 + 0.70553356) * ((5722.731 + (x0 * -334.49664)) - (x1 * -255.96599))) - (x2 * (x3 - 1336.1204))"
20,4387.3633,"((x3 + 0.70201135) * (((x0 * -333.51468) - (x1 * -257.45865)) + 5748.5996)) - (x2 * (square(x1) - 1308.5199))"
21,4236.779,"((x3 + 0.7017617) * (((x0 * -324.73715) - (x1 * -252.16644)) + 5750.722)) - (x2 * (square(square(x0)) - 1306.4684))"
22,3981.788,"(((((x0 * -365.4671) + 6034.813) - (x1 * -273.74768)) * (x3 + 0.68044066)) - (x2 * -1120.3436)) - square(x3 * 8.129784)"
25,3979.1633,"(((0.6822245 + x3) * (((x0 * -373.21976) + (6027.3174 - (-278.70023 * x1))) - square(x1))) - (x2 * -1136.8344)) - square(x3 * 8.347652)"
27,3935.4287,"((x3 + 0.68422514) * (((x0 * -366.37653) + 5998.4106) - (x1 * -84.1075))) - (((-1265.3804 - (x2 * -124.062164)) - (x1 * (263.54663 - x1))) * x2)"
29,3742.267,"(((((x0 * -344.6469) + 5741.1304) - (x1 * -274.19)) * (x3 + 0.7024605)) - (((((x2 - x3) * 11.879652) * (x1 * -40.091404)) + -1308.0522) * x2)) + 2.2873046"
