Complexity,Loss,Equation
1,5.4317664e7,"4307.683"
3,1.6401862e7,"x3 * 7275.4556"
4,4.199636e6,"square(x2 * -67.372086)"
5,19264.521,"(x3 * 7139.132) + 4049.94"
7,19015.818,"((x3 * 7137.7812) - 1.9167554e8) + 1.9167958e8"
8,18882.158,"(square(x1) + 7135.121) * (x3 - -0.56731975)"
9,16300.021,"(x3 * (7091.394 - (x1 * -44.550884))) + 4013.9106"
10,16122.123,"((x3 * 7152.755) + 4078.618) - (square(x0) * 26.172958)"
11,13422.384,"(x3 * 7045.6724) + (4392.0513 - square(cos(x3) * -23.083843))"
12,9149.079,"(3907.9302 + (x3 * 7187.782)) - (cos(x3 - x0) * -189.5922)"
14,6896.588,"((x3 * 7149.606) + 3912.3254) - (cos((x3 + -0.8287128) - x0) * -257.779)"
16,5144.984,"((x3 * 7122.377) + 3995.1467) - (cos(x0 - (x3 * (x3 + -0.94611))) * -264.0473)"
17,4842.424,"(((6720.3184 - (x0 * (x2 * -229.99103))) * x3) + 3924.2642) - ((x2 - x1) * -551.75336)"
18,4281.7017,"(((x3 * 6657.2065) + 3905.338) - (square(x2) * (x0 * -265.7601))) - ((x2 - x1) * -633.1348)"
19,4179.576,"((x3 * (6785.582 - (((x0 * -240.26683) + 60.19806) * x2))) + 3979.4011) - ((x2 - x1) * -589.38995)"
20,3759.6228,"(3903.3225 - (x0 * (square(x2) * -269.86908))) + ((x3 * 6398.4395) - (((x2 * 1.3908775) - x1) * -646.65295))"
21,3526.148,"((x3 * (6724.965 - (((x0 * -450.31686) + (x1 * 137.12007)) * x2))) + 3942.9705) - ((x2 - x1) * -627.0002)"
23,3200.3145,"(((6716.556 - (((x1 * 136.10913) + (x0 * -435.16815)) * (x2 + 0.19406278))) * x3) - ((x2 - x1) * -654.08777)) + 3925.2478"
25,3191.5056,"((x3 * (6717.192 - (((x1 * 136.76128) + (x0 * -436.2827)) * (x2 + 0.19356032)))) + 3925.5505) - ((x2 - x1) * (-653.56274 - x1))"
26,3167.0046,"(x3 * (6716.656 - (((x1 * 135.96652) + (x0 * -435.47076)) * (x2 + 0.19554248)))) + (3925.9448 - ((-652.81555 - square(x1)) * (x2 - x1)))"
27,3128.4697,"((((6529.556 - (x2 * ((x0 * -386.74664) + (x1 * 118.91866)))) * x3) - ((x2 - (x1 * 0.6239962)) * -787.0633)) + (x0 * -50.511227)) + 3960.3118"
28,3064.8262,"(((x3 * (6580.963 - (x2 * ((x0 * -383.8254) + (x1 * 118.01633))))) + 3978.5493) - ((x2 - (x1 * 0.68908507)) * -726.209)) - (square(x0) * 17.84931)"
29,3047.2053,"(((x3 * (6556.4487 - (((x0 * -385.8062) + (x1 * 116.23916)) * x2))) - square(square(x0 - -0.49829724))) - ((x2 - (x1 * 0.68955106)) * -756.5979)) + 3968.9333"
30,3006.007,"((((6530.707 - (x2 * ((x0 * -359.43307) + (x1 * 110.51848)))) * x3) - ((x2 - (x1 * 0.6005264)) * -760.6634)) + 3997.6086) - square(square(2.785903 - cos(x0)))"
