Complexity,Loss,Equation
1,7.495682e6,"-1519.5688"
3,5555.882,"x3 * -0.94184154"
5,2147.7546,"(x3 + -70.88438) * -0.95202506"
7,2117.2117,"(x0 + 66.43595) + (x3 * -0.9529101)"
8,1711.6631,"square(x0 + -7.844196) + (x3 * -0.94504577)"
10,1484.7227,"(x3 * -0.9463662) + square((x0 * -1.2120389) - -8.249612)"
12,1277.932,"(x3 * -0.93774927) + (-84.329 + square(-12.234687 - (x0 * -1.668127)))"
14,501.71222,"((6.310382 - x0) * (cos(x2 - -0.9103308) * 17.61847)) - (x3 * 0.94165707)"
16,375.02695,"(((6.6524053 - x0) * 18.777977) * (cos(x2 - -0.70175636) + -0.2216193)) - (x3 * 0.9427893)"
18,365.94363,"((((cos(-0.7307344 - x2) + -0.2378876) * (6.725881 - x0)) * 17.867691) - (x3 * 0.94397616)) + 7.8007965"
20,334.9095,"(((((7.514116 - x0) * 21.070679) * cos((-1.6102802 - x2) * -0.7875421)) - x3) * 0.9485817) + (27.08966 - x2)"
21,295.15808,"((cos(-0.7151944 - x2) * ((6.338292 - x0) * 14.527126)) - ((x3 * 0.9399481) - (x0 * -11.81799))) + square(x0)"
23,272.6639,"(square(x0) + (cos(x2 - -0.6226081) * ((6.5164423 - x0) * 16.005579))) - (((x3 * 0.9391216) - (x0 * -10.634037)) - -16.38674)"
25,260.68127,"(((cos(-0.77133393 - x2) * (6.345887 - x0)) * 16.967997) + square(x0)) - ((x3 * 0.94115496) - (((x2 - 13.913634) * x0) - 8.650956))"
27,260.67917,"((((6.344165 - x0) * cos(x2 - -0.77214146)) * 16.956358) - (x1 + ((8.509228 - ((x2 + -13.923241) * x0)) + (x3 * 0.94116545)))) + square(x0)"
28,258.88876,"(cos(x3) - (((x3 * 0.94116) + 8.652127) - (x0 * (x2 + -13.948775)))) + (square(x0) + (((6.3105817 - x0) * 16.921137) * cos(x2 - -0.77571654)))"
29,246.40352,"square(cos(6.025815 - cos(x0)) - x0) + ((cos(x2 - -0.8227136) * ((6.2574778 - x0) * 16.189018)) - ((x3 - ((x2 - 13.699246) * x0)) * 0.94158095))"
