,Unnamed: 0,currentTime,Agp_Pos_Sp_FL,Agp_Pos_Sp_FR,Agp_Pos_Sp_RL,Agp_Pos_Sp_RR,Disc_T_Est_FL,Disc_T_Est_FR,Disc_T_Est_RL,Disc_T_Est_RR,Motor_current_FL,Wheel_Decl_FL,Motor_current_FR,Wheel_Decl_FR,Motor_current_RL,Wheel_Decl_RL,Motor_current_RR,Wheel_Decl_RR,Vehicle_speed,Gyro_Rate_Pitch,IMU_Gyro_Rate_Roll,IMU_Gyro_Rate_Yaw,RealizedClampingForce_FL,RealizedClampingForce_FR,RealizedClampingForce_RL,RealizedClampingForce_RR,Piston_position_FL,Piston_position_FR,Piston_position_RL,Piston_position_RR,CF_FL,CF_FR,CF_RL,CF_RR,ESTIMATED_PRESSURE_FL,ESTIMATED_PRESSURE_FR,ESTIMATED_PRESSURE_RL,ESTIMATED_PRESSURE_RR,LATERAL_ACCELERATION,LONGITUDINAL_ACCELERATION,Wheel_Speed_FL,Wheel_Speed_FR,Wheel_Speed_RL,Wheel_Speed_RR,Yaw_rate,Ambiant_Temperature,Init_Disc_CF_FL,POS_MEASUREREV,TMC_filtered,Vitesse_Vehicule_Roues,Pressure_Speed_FL,Position_previous_FL,POS_MEASUREREV_square,POS_MEASUREREV_cube,Estimated_CF_FL,Estimated_CF_previous_FL,Pressure_Speed_previous_FL,CF_previous_FL,Deceleration_g,PosDiff,PreDiff,DecDiff,Lookup_Table,Temp_amb_C,Initial_temp_FL,RPM,Distance_Roues_instant,Distance_Roues,Brake_apply,Brake_release,Time_since_brake_apply,Miles_since_brake_apply,Time_since_brake_release,Miles_since_brake_release,BrakingTime_2,BrakingMiles_2,TimeSinceLastBrake_2,MilesSinceLastBrake_2,Change_Position,Change_pressure,BrakingForce_2,BrakingForce_ma_2,Start_braking_time,End_braking_time,BrakeStartSpeed,LastBrakStartSpeed,LastBrakEndtSpeed,LastDeceleration,conv_heat_trans_coef,temp_change_conv_FL,disc_heating_BTM_FL,temp_change_instant_BTM_1_FL,Pressure_Speed_time_FL
0,0,-0.0039239225097844,2.0,2.0,2.0,2.0,67.0,67.0,66.0,66.0,32868.0,28605.0,32848.0,28343.0,32990.0,27594.0,32788.0,27700.0,12.5268,1.2,-0.2,-2.95,2.0,2.0,2.0,2.0,-0.2499999999999993,-0.2459999999999993,-0.2489999999999993,-0.2479999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-83.38500261306763,170.69400548934937,45.36000061035156,45.625,46.92499923706055,46.875,-45.23999834060668,25.0,38.0,0.0,0.0,45.36000061035156,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,6.500244140625064,0.0,0.0,0.0,2.0,25.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0060760774902155,2.0,2.0,2.0,2.0,67.0,67.0,66.0,66.0,32868.0,28606.0,32848.0,28350.0,32990.0,27625.0,32788.0,27598.0,12.53503846655928,0.9093449029479574,0.017991322789032,-2.8046724514739787,2.0,2.0,2.0,2.0,-0.2499999999999993,-0.2459999999999993,-0.2489999999999993,-0.2479999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-24.52500015497208,163.82700204849243,45.29499816894531,45.51499938964844,46.90499877929688,47.970001220703125,-51.33000082969665,25.0,38.0,0.0,0.0,45.29499816894531,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-0.5001068115234374,0.0,0.0,-7.0003509521485014,2.0,25.0,67.0,0.0,0.00012590972052679998,0.00012590972052679998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999901,0.00012590972052679998,0.0,0.0,0.0,0.0,0.0,0.0060760774902155,0.0,0.0,45.36000061035156,7465.342679285478,51.89622144038509,66.99749108181979,0.0,66.99749108181979,0.0
2,2,0.0160760774902155,2.0,2.0,2.0,2.0,67.0,67.0,66.0,66.0,32868.0,28651.0,32827.0,28351.0,32948.0,27573.0,32768.0,27489.0,12.545223493542434,0.4777217959824393,0.3506608253469917,-2.964852136011708,2.0,2.0,2.0,2.0,-0.2499999999999993,-0.2459999999999993,-0.2489999999999993,-0.2479999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-27.46799886226654,124.58699941635132,45.29999923706055,45.584999084472656,47.16999816894531,48.59999847412109,-47.85,25.0,38.0,0.0,0.0,45.29999923706055,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,4.999923706054688,0.0,0.0,5.500030517578126,2.0,25.0,67.0,0.0,0.00012582638528611928,0.00025173610581291926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999903,0.00025173610581291926,0.0,0.0,0.0,0.0,0.0,0.0060760774902155,0.0,0.0,45.36000061035156,0.0,51.90069072064881,66.99749086575929,0.0,66.99749086575929,0.0
3,3,0.0260760774902155,2.0,2.0,2.0,2.0,67.0,67.0,66.0,66.0,32847.0,28696.0,32827.0,28340.0,32990.0,27465.0,32788.0,27474.0,12.560379054954796,0.3859729939249345,0.378054012150131,-2.546378085050917,2.0,2.0,2.0,2.0,-0.2499999999999993,-0.2459999999999993,-0.2489999999999993,-0.2479999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-53.95500063896179,163.82700204849243,45.25,45.720001220703125,47.93000030517578,48.540000915527344,-53.06999917030334,25.0,38.0,0.0,0.0,45.25,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,26.499938964843754,0.0,0.0,21.500015258789066,2.0,25.0,67.0,0.0,0.00012576388782925075,0.00037749999364217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999902,0.00037749999364217,0.0,0.0,0.0,0.0,0.0,0.0060760774902155,0.0,0.0,45.36000061035156,0.0,51.85600326051026,66.99749302610607,0.0,66.99749302610607,0.0
4,4,0.0360760774902155,2.0,2.0,2.0,2.0,67.0,67.0,66.0,66.0,32868.0,28757.0,32848.0,28327.0,32990.0,27357.0,32768.0,27499.0,12.577159036292386,-0.0352057196807701,-0.1214728629875009,-2.531335716533654,2.0,2.0,2.0,2.0,-0.2499999999999993,-0.2459999999999993,-0.2489999999999993,-0.2479999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-50.03100037574768,206.0100078582764,44.98500061035156,45.79499816894531,48.400001525878906,48.07500076293945,-40.88999834060669,25.0,38.0,0.0,0.0,44.98500061035156,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-8.499908447265623,0.0,0.0,-34.999847412109375,2.0,25.0,67.0,0.0,0.00012532638973659937,0.0005028263833787693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0399999999999999,0.0005028263833787693,0.0,0.0,0.0,0.0,0.0,0.0060760774902155,0.0,0.0,45.36000061035156,0.0,51.61897491605865,66.99750448487998,0.0,66.99750448487998,0.0
5,5,0.0460760774902155,2.0,2.0,2.0,2.0,67.0,67.0,66.0,66.0,32868.0,28787.0,32869.0,28310.0,32990.0,27422.0,32788.0,27528.0,12.595368377372822,-0.1273293509491596,-1.3537244112371851,-2.381988052847479,2.0,2.0,2.0,2.0,-0.2499999999999993,-0.2459999999999993,-0.2489999999999993,-0.2479999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-31.39199912548065,212.8770112991333,45.06999969482422,45.91999816894531,48.380001068115234,47.900001525878906,-45.23999834060668,25.0,38.0,0.0,0.0,45.06999969482422,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-18.00003051757812,0.0,0.0,-9.500122070312498,2.0,25.0,67.0,0.0,0.00012507638931274416,0.0006279027726915135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499999999999999,0.0006279027726915135,0.0,0.0,0.0,0.0,0.0,0.0060760774902155,0.0,0.0,45.36000061035156,0.0,51.695035611117945,66.9975008078413,0.0,66.9975008078413,0.0
6,6,0.0560760774902155,2.0,2.0,2.0,2.0,67.0,67.0,66.0,66.0,32847.0,28818.0,32848.0,28297.0,32990.0,27575.0,32747.0,27531.0,12.613141951361014,-0.1,-1.495617201462581,-2.227319200417881,2.0,2.0,2.0,2.0,-0.2499999999999993,-0.2459999999999993,-0.2489999999999993,-0.2479999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-41.20199978351593,228.57298851013184,45.25,46.04499816894531,47.41999816894531,47.90499877929688,-40.01999917030334,25.0,38.0,0.0,0.0,45.25,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-6.000137329101562,0.0,0.0,11.999893188476559,2.0,25.0,67.0,0.0,0.00012544444402058923,0.0007533472167121027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0599999999999999,0.0007533472167121027,0.0,0.0,0.0,0.0,0.0,0.0060760774902155,0.0,0.0,45.36000061035156,0.0,51.85600326051026,66.99749302610607,0.0,66.99749302610607,0.0
7,7,0.0660760774902155,2.0,2.0,2.0,2.0,67.0,67.0,66.0,66.0,32847.0,28814.0,32848.0,28295.0,32990.0,27673.0,32788.0,27538.0,12.628395227764717,-0.6442498364648983,-1.218583387845034,-2.272566644861987,2.0,2.0,2.0,2.0,-0.2499999999999993,-0.2459999999999993,-0.2489999999999993,-0.2479999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-63.76500129699707,209.93399620056152,45.310001373291016,46.025001525878906,47.1150016784668,47.994998931884766,-38.280000829696654,25.0,38.0,0.0,0.0,45.310001373291016,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-28.49998474121095,0.0,0.0,-22.49984741210939,2.0,25.0,67.0,0.0,0.00012577777968512642,0.0008791249963972292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0699999999999999,0.0008791249963972292,0.0,0.0,0.0,0.0,0.0,0.0060760774902155,0.0,0.0,45.36000061035156,0.0,51.909628955548555,66.99749043365404,0.0,66.99749043365404,0.0
8,8,0.0760760774902155,2.0,2.0,2.0,2.0,67.0,67.0,66.0,66.0,32827.0,28802.0,32827.0,28316.0,32969.0,27653.0,32768.0,27587.0,12.641265049037834,-0.85,-1.1857969907641148,-2.156812036943541,2.0,2.0,2.0,2.0,-0.2499999999999993,-0.2459999999999993,-0.2489999999999993,-0.2479999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-89.27099704742432,180.50400018692017,45.595001220703125,46.01499938964844,47.29999923706055,48.02999877929688,-40.01999917030334,25.0,38.0,0.0,0.0,45.595001220703125,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-18.49975585937572,0.0,0.0,10.00022888183523,2.0,25.0,67.0,0.0,0.00012625694804721402,0.0010053819444444433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999989,0.0010053819444444433,0.0,0.0,0.0,0.0,0.0,0.0060760774902155,0.0,0.0,45.36000061035156,0.0,52.16413215925098,66.99747813008892,0.0,66.99747813008892,0.0
9,9,0.0860760774902155,2.0,2.0,2.0,2.0,67.0,67.0,66.0,66.0,32827.0,28772.0,32869.0,28322.0,32950.0,27563.0,32747.0,27665.0,12.653452500652884,-0.7777620132067871,-0.9832860396203612,-2.20835698018982,2.0,2.0,2.0,2.0,-0.2499999999999993,-0.2459999999999993,-0.2489999999999993,-0.2479999999999993,38.0,0.0,293.0,198.0,0.0,0.0,0.0,0.0,-76.5179991722107,163.82700204849243,45.77999877929688,45.9900016784668,48.04999923706055,47.790000915527344,-36.53999834060669,25.0,38.0,0.0,0.0,45.77999877929688,0.0,0.0,0.0,0.0,-1111.702,-1111.702,0.0,38.0,-4.000091552733661,0.0,0.0,14.49966430664206,2.0,25.0,67.0,0.0,0.00012690972222222216,0.0011322916666666656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999989,0.0011322916666666656,0.0,0.0,0.0,0.0,0.0,0.0060760774902155,0.0,0.0,45.36000061035156,0.0,52.32914654171881,66.99747015272487,0.0,66.99747015272487,0.0
